"Seller","Make","Price","ZIP","City","State","Class","Year","Length","Category","Hull.Material","Engine.Type","age"
"Bob Hodge Marine Group","Floating Boutique Hotel Barge",5900000,"33712 ","Saint Petersburg","FL","Power",2009,375," Barge, Commercial Boats","Steel","Other",10
"Black Label Marine Group - Black Label Marine Group","Stingray",34995,"34482 ","Ocala","FL","Power",2014,260," Deck Boats","Other","Other",5
"Marina Mikes","Crownline Boats",29999,"33908 ","Fort  Myers","FL","Power",2007,250," Bowrider","Fiberglass","Other",12
"Hickory Bluff Marine Group - Hickory Bluff Marine Group","Sea Pro",74999,"31565 ","Waverly","GA","Power",2019,248," Bay Boats","Fiberglass","Other",0
"Central Kentucky Boat & RV","Sea Ray",19500,"40475 ","Richmond","KY","Power",1992,235," Express Cruiser, Cruisers","Fiberglass","Other",27
"Boat Brokers, The","Godfrey",16995,"86403 ","Lake Havasu City","AZ","Power",1999,226," Deck Boats","Aluminum","Other",20
"Hobe Sound Marine","Grady-White",25400,"33455 ","Hobe Sound","FL","Power",2000,226," Cuddy Cabin","Fiberglass","Other",19
"Valhalla Boat Sales","Skeeter",64950,"8224 ","New Gretna","NJ","Power",2019,225," Saltwater Fishing, Bass Boats, Center Consoles","Composite","Single Outboard",0
"Dotties Marine, Inc","Crest",38995,"38341 ","Holladay","TN","Power",2019,220," Pontoon Boats","Aluminum","Other",0
"Meredith Marina","Crownline",23995,"3253 ","Meredith","NH","Power",2005,220," Bowrider","Fiberglass","Other",14
"Great Lakes Boats & Brokerage","Blount",2950000,"44060 ","Mentor","OH","Power",1987,197," Commercial Boats","Steel","Other",32
"Knox Marine - Ltd","Ranger",16995,"43019 ","Fredericktown","OH","Power",2007,186," Freshwater Fishing","Fiberglass","Other",12
"Denison Yachting - Denison Yachting - Miami","Oceanfast",14900000,"33139 ","Miami","FL","Power",2004,174," Mega Yachts","Aluminum","Twin Inboard",15
"Blackbeard Marine - Blackbeard Marine - Tulsa","G3",22000,"74145 ","Tulsa","OK","Power",2019,170," Freshwater Fishing","Other","Other",0
"Denison Yachting - Denison Yachting","Trinity Yachts",13900000,"33316 ","Fort Lauderdale","FL","Power",2008,161," Motor Yachts","Aluminum","Twin Inboard",11
"Northrop and Johnson - Northrop and Johnson, Inc. RI","Macarrini",1450000,"2840 ","Newport","RI","Sails",1989,158," Motorsailers","Wood","Other",30
"Denison Yachting - Denison Yachting","Palmer Johnson",4500000,"33316 ","Fort Lauderdale","FL","Sails",1983,157," Antique and Classics","Aluminum","Single Inboard",36
"Northrop and Johnson - Northrop and Johnson Yachts-Ships, Inc","Pendennis",9975000,"33315 ","Fort Lauderdale","FL","Sails",2004,156," Motorsailers","Aluminum","Other",15
"World Class Yacht Sales, Inc. - Corporate Office - New Port Richey","Duckworth",650000,"34652 ","New Port Richey","FL","Power",1999,155," Commercial Boats, Passenger","Steel","Other",20
"Northrop and Johnson - Northrop and Johnson Yachts-Ships, Inc","Picchiotti",3500000,"33315 ","Fort Lauderdale","FL","Power",1980,152," Motor Yachts","Steel","Twin Inboard",39
"Northrop and Johnson - Northrop and Johnson Newport Beach, CA","Christensen",16495000,"92663 ","Newport Beach","CA","Power",2003,151," Motor Yachts","Fiberglass","Twin Inboard",16
"Northrop and Johnson - Northrop and Johnson San Diego, CA","Christensen",16495000,"92106 ","San Diego","CA","Power",2003,150," Motor Yachts","Fiberglass","Twin Inboard",16
"Northrop and Johnson - Northrop and Johnson Yachts-Ships, Inc","Christensen",13750000,"33315 ","Fort Lauderdale","FL","Power",2005,150," Motor Yachts","Fiberglass","Twin Inboard",14
"NW Yachtnet - NW Yachtnet","Ferry",1495000,"98402 ","Tacoma","WA","Power",1936,150," Commercial Boats, Pilothouse","Steel","Single Inboard",83
"Denison Yachting - Denison Yachting","Richmond Yachts",14950000,"33316 ","Fort Lauderdale","FL","Power",2010,150," Motor Yachts, Mega Yachts","Fiberglass","Twin Inboard",9
"Denison Yachting - Denison Yachting","Sensation Yachts",10950000,"33316 ","Fort Lauderdale","FL","Power",2006,149," Motor Yachts, Mega Yachts","Fiberglass","Twin Inboard",13
"Denison Yachting - Denison Yachting","Benetti",11900000,"33316 ","Fort Lauderdale","FL","Power",2010,147," Motor Yachts, Mega Yachts","Composite","Twin Inboard",9
"Allied Marine - Allied Marine - Fort Lauderdale - Bahia Mar","Swiftships",1700000,"33316 ","Fort Lauderdale","FL","Power",1977,145," Motor Yachts","Aluminum","Twin Inboard",42
"Florida Yachts International - Florida Yachts International","Mangusta",21500000,"33133 ","Miami","FL","Power",2017,143," Mega Yachts","Aluminum","Twin Inboard",2
"River Valley Power & Sport - Lake Minnetonka","Yamaha Boats",5499,"55391 ","Wayzata","MN","PWC",2006,141," Personal Watercraft","Other","Other",13
"River Valley Power & Sport - Red Wing","Yamaha Boats",5499,"55066 ","Red Wing","MN","PWC",2006,141," Personal Watercraft","Other","Other",13
"River Valley Power and Sports - Rochester","Yamaha Boats",5499,"55901 ","Rochester","MN","PWC",2006,141," Personal Watercraft","Other","Other",13
"River Valley Power & Sport - Red Wing","Yamaha Boats",14499,"55066 ","Red Wing","MN","PWC",2019,141," Personal Watercraft","Other","Other",0
"River Valley Power & Sport - Lake Minnetonka","Yamaha Boats",14499,"55391 ","Wayzata","MN","PWC",2019,141," Personal Watercraft","Other","Other",0
"River Valley Power and Sports - Rochester","Yamaha Boats",14499,"55901 ","Rochester","MN","PWC",2019,141," Personal Watercraft","Other","Other",0
"River Valley Power & Sport - Lake Minnetonka","Yamaha Boats",11999,"55391 ","Wayzata","MN","PWC",2019,141," Personal Watercraft","Other","Other",0
"River Valley Power & Sport - Red Wing","Yamaha Boats",11999,"55066 ","Red Wing","MN","PWC",2019,141," Personal Watercraft","Other","Other",0
"River Valley Power and Sports - Rochester","Yamaha Boats",11999,"55901 ","Rochester","MN","PWC",2019,141," Personal Watercraft","Other","Other",0
"Naples Yacht Brokerage - Naples Yacht Brokerage","Horizon",9250000,"34102 ","Naples","FL","Power",2011,140," Motor Yachts, Mega Yachts","Fiberglass","Twin Inboard",8
"Denison Yachting - Denison Yachting","Intermarine",5995000,"33316 ","Fort Lauderdale","FL","Power",1999,136," Motor Yachts","Fiberglass","Other",20
"River Valley Power & Sport - Lake Minnetonka","Sea-Doo",14499,"55391 ","Wayzata","MN","PWC",2019,136," Personal Watercraft","Other","Other",0
"River Valley Power & Sport - Red Wing","Sea-Doo",14499,"55066 ","Red Wing","MN","PWC",2019,136," Personal Watercraft","Other","Other",0
"River Valley Power and Sports - Rochester","Sea-Doo",14499,"55901 ","Rochester","MN","PWC",2019,136," Personal Watercraft","Other","Other",0
"River Valley Power & Sport - Lake Minnetonka","Sea-Doo",14999,"55391 ","Wayzata","MN","PWC",2019,136," Personal Watercraft","Other","Other",0
"River Valley Power & Sport - Red Wing","Sea-Doo",14999,"55066 ","Red Wing","MN","PWC",2019,136," Personal Watercraft","Other","Other",0
"River Valley Power and Sports - Rochester","Sea-Doo",14999,"55901 ","Rochester","MN","PWC",2019,136," Personal Watercraft","Other","Other",0
"River Valley Power & Sport - Lake Minnetonka","Sea-Doo",10799,"55391 ","Wayzata","MN","PWC",2014,136," Personal Watercraft","Other","Other",5
"River Valley Power & Sport - Red Wing","Sea-Doo",10799,"55066 ","Red Wing","MN","PWC",2014,136," Personal Watercraft","Other","Other",5
"River Valley Power and Sports - Rochester","Sea-Doo",10799,"55901 ","Rochester","MN","PWC",2014,136," Personal Watercraft","Other","Other",5
"River Valley Power & Sport - Red Wing","Sea-Doo",14899,"55066 ","Red Wing","MN","PWC",2019,136," Personal Watercraft","Other","Other",0
"River Valley Power & Sport - Lake Minnetonka","Sea-Doo",14899,"55391 ","Wayzata","MN","PWC",2019,136," Personal Watercraft","Other","Other",0
"River Valley Power and Sports - Rochester","Sea-Doo",14899,"55901 ","Rochester","MN","PWC",2019,136," Personal Watercraft","Other","Other",0
"River Valley Power & Sport - Red Wing","Sea-Doo",12999,"55066 ","Red Wing","MN","PWC",2016,136," Personal Watercraft","Other","Other",3
"River Valley Power and Sports - Rochester","Sea-Doo",12999,"55901 ","Rochester","MN","PWC",2016,136," Personal Watercraft","Other","Other",3
"River Valley Power & Sport - Lake Minnetonka","Sea-Doo",12999,"55391 ","Wayzata","MN","PWC",2016,136," Personal Watercraft","Other","Other",3
"River Valley Power & Sport - Red Wing","Sea-Doo",13799,"55066 ","Red Wing","MN","PWC",2019,136," Personal Watercraft","Other","Other",0
"River Valley Power & Sport - Lake Minnetonka","Sea-Doo",13799,"55391 ","Wayzata","MN","PWC",2019,136," Personal Watercraft","Other","Other",0
"River Valley Power and Sports - Rochester","Sea-Doo",13799,"55901 ","Rochester","MN","PWC",2019,136," Personal Watercraft","Other","Other",0
"Denison Yachting - Denison Yachting","Broward",3750000,"33316 ","Fort Lauderdale","FL","Power",2008,135," Flybridge","Aluminum","Twin Inboard",11
"River Valley Power & Sport - Lake Minnetonka","Sea-Doo",9599,"55391 ","Wayzata","MN","PWC",2019,133," Personal Watercraft","Other","Other",0
"River Valley Power & Sport - Red Wing","Sea-Doo",9599,"55066 ","Red Wing","MN","PWC",2019,133," Personal Watercraft","Other","Other",0
"River Valley Power and Sports - Rochester","Sea-Doo",9599,"55901 ","Rochester","MN","PWC",2019,133," Personal Watercraft","Other","Other",0
"River Valley Power & Sport - Lake Minnetonka","Sea-Doo",8599,"55391 ","Wayzata","MN","PWC",2018,133," Personal Watercraft","Other","Other",1
"River Valley Power & Sport - Red Wing","Sea-Doo",8599,"55066 ","Red Wing","MN","PWC",2018,133," Personal Watercraft","Other","Other",1
"River Valley Power and Sports - Rochester","Sea-Doo",8599,"55901 ","Rochester","MN","PWC",2018,133," Personal Watercraft","Other","Other",1
"River Valley Power & Sport - Red Wing","Sea-Doo",8999,"55066 ","Red Wing","MN","PWC",2018,133," Personal Watercraft","Other","Other",1
"River Valley Power & Sport - Lake Minnetonka","Sea-Doo",8999,"55391 ","Wayzata","MN","PWC",2018,133," Personal Watercraft","Other","Other",1
"River Valley Power and Sports - Rochester","Sea-Doo",8999,"55901 ","Rochester","MN","PWC",2018,133," Personal Watercraft","Other","Other",1
"River Valley Power & Sport - Red Wing","Yamaha Boats",7999,"55066 ","Red Wing","MN","PWC",2017,133," Personal Watercraft","Other","Other",2
"River Valley Power and Sports - Rochester","Yamaha Boats",7999,"55901 ","Rochester","MN","PWC",2017,132," Personal Watercraft","Other","Other",2
"River Valley Power & Sport - Lake Minnetonka","Yamaha Boats",7999,"55391 ","Wayzata","MN","PWC",2017,132," Personal Watercraft","Other","Other",2
"River Valley Power & Sport - Red Wing","Yamaha Boats",12499,"55066 ","Red Wing","MN","PWC",2019,132," Personal Watercraft","Other","Other",0
"River Valley Power & Sport - Lake Minnetonka","Yamaha Boats",12499,"55391 ","Wayzata","MN","PWC",2019,132," Personal Watercraft","Other","Other",0
"River Valley Power and Sports - Rochester","Yamaha Boats",12499,"55901 ","Rochester","MN","PWC",2019,132," Personal Watercraft","Other","Other",0
"River Valley Power & Sport - Red Wing","Yamaha Boats",10499,"55066 ","Red Wing","MN","PWC",2019,132," Personal Watercraft","Other","Other",0
"River Valley Power & Sport - Lake Minnetonka","Yamaha Boats",10499,"55391 ","Wayzata","MN","PWC",2019,132," Personal Watercraft","Other","Other",0
"River Valley Power and Sports - Rochester","Yamaha Boats",10499,"55901 ","Rochester","MN","PWC",2019,132," Personal Watercraft","Other","Other",0
"River Valley Power & Sport - Red Wing","Yamaha Boats",9499,"55066 ","Red Wing","MN","PWC",2019,132," Personal Watercraft","Other","Other",0
"River Valley Power & Sport - Lake Minnetonka","Yamaha Boats",9499,"55391 ","Wayzata","MN","PWC",2019,132," Personal Watercraft","Other","Other",0
"River Valley Power and Sports - Rochester","Yamaha Boats",9499,"55901 ","Rochester","MN","PWC",2019,132," Personal Watercraft","Other","Other",0
"River Valley Power & Sport - Lake Minnetonka","Yamaha Boats",10799,"55391 ","Wayzata","MN","PWC",2019,132," Personal Watercraft","Other","Other",0
"River Valley Power & Sport - Red Wing","Yamaha Boats",10799,"55066 ","Red Wing","MN","PWC",2019,132," Personal Watercraft","Other","Other",0
"River Valley Power and Sports - Rochester","Yamaha Boats",10799,"55901 ","Rochester","MN","PWC",2019,132," Personal Watercraft","Other","Other",0
"Allied Marine - Allied Marine - Fort Lauderdale - Bahia Mar","Columbus Yachts",12999000,"33316 ","Fort Lauderdale","FL","Power",2013,132," Motor Yachts","Aluminum","Twin Inboard",6
"River Valley Power & Sport - Lake Minnetonka","Sea-Doo",12599,"55391 ","Wayzata","MN","fication",2019,131," Personal Watercraft","Other","Other",0
"River Valley Power & Sport - Lake Minnetonka","Sea-Doo",12599,"55391 ","Wayzata","MN","PWC",2019,131," Personal Watercraft","Other","Other",0
"River Valley Power and Sports - Rochester","Sea-Doo",12599,"55901 ","Rochester","MN","PWC",2019,131," Personal Watercraft","Other","Other",0
"River Valley Power and Sports - Rochester","Sea-Doo",3999,"55901 ","Rochester","MN","PWC",2004,131," Personal Watercraft","Other","Other",15
"River Valley Power & Sport - Red Wing","Sea-Doo",3999,"55066 ","Red Wing","MN","PWC",2004,131," Personal Watercraft","Other","Other",15
"River Valley Power & Sport - Lake Minnetonka","Sea-Doo",3999,"55391 ","Wayzata","MN","PWC",2004,131," Personal Watercraft","Other","Other",15
"River Valley Power & Sport - Red Wing","Sea-Doo",9999,"55066 ","Red Wing","MN","PWC",2015,131," Personal Watercraft","Other","Other",4
"River Valley Power and Sports - Rochester","Sea-Doo",9999,"55901 ","Rochester","MN","PWC",2015,131," Personal Watercraft","Other","Other",4
"River Valley Power & Sport - Lake Minnetonka","Sea-Doo",9999,"55391 ","Wayzata","MN","PWC",2015,131," Personal Watercraft","Other","Other",4
"River Valley Power & Sport - Red Wing","Sea-Doo",14999,"55066 ","Red Wing","MN","PWC",2019,131," Personal Watercraft","Other","Other",0
"River Valley Power & Sport - Lake Minnetonka","Sea-Doo",14999,"55391 ","Wayzata","MN","PWC",2019,131," Personal Watercraft","Other","Other",0
"River Valley Power and Sports - Rochester","Sea-Doo",14999,"55901 ","Rochester","MN","PWC",2019,131," Personal Watercraft","Other","Other",0
"Rick Obey Yacht Sales - Rick Obey Yacht Sales","Sunseeker",14999000,"33312 ","Fort Lauderdale","FL","PWC",2016,131," Mega Yachts, Motor Yachts","Fiberglass","Twin Inboard",3
"Northrop and Johnson - Northrop and Johnson Yachts-Ships, Inc","Westport",20900000,"33315 ","Fort Lauderdale","FL","Power",2016,131," Motor Yachts","Fiberglass","Other",3
"Atlantic Yacht & Ship, Inc. - Atlantic Yacht & Ship, Inc.","Westport",10500000,"33004 ","Dania Beach","FL","Power",2008,130," Motor Yachts","Fiberglass","Twin Inboard",11
"Allied Marine - Allied Marine - Stuart","Westport",9999999,"34994 ","Stuart","FL","Power",2006,130," Motor Yachts","Fiberglass","Twin Inboard",13
"Northrop and Johnson - Northrop and Johnson Yachts-Ships, Inc","Westport",15495000,"33315 ","Fort Lauderdale","FL","Power",2010,130," Motor Yachts","Fiberglass","Twin Outboard",9
"Northrop and Johnson - Northrop and Johnson Yachts-Ships, Inc","NorthCoast",6500000,"33315 ","Fort Lauderdale","FL","Power",2001,130," Motor Yachts","Fiberglass","Twin Inboard",18
"Northrop and Johnson - Northrop and Johnson Newport Beach, CA","Palmer Johnson",6950000,"92663 ","Newport Beach","CA","Power",2000,128," Motor Yachts","Aluminum","Twin Inboard",19
"Atlantic Yacht & Ship, Inc. - Atlantic Yacht & Ship, Inc.","IAG",8485000,"33004 ","Dania Beach","FL","Power",2014,128," Motor Yachts","Fiberglass","Twin Inboard",5
"Apollo Yachts - Apollo Yachts","Motor Yacht",3400000,"33131 ","Miami","FL","Power",1994,127," Mega Yachts","Composite","Twin Inboard",25
"Global One Yacht Sales - Global One Yacht Sales","Custom",2100000,"8724 ","Brick","NJ","Power",1991,126," Commercial Boats, Cruise Ship, Passenger","Steel","Twin Inboard",28
"Chesapeake Nautical Cruises, LLC - Chesapeake Nautical Cruises, LLC","Custom",49999,"21140 ","Riva","MD","Power",2019,125," Commercial Boats, Utility Boats, Trawlers","Steel","Twin Inboard",0
"HMY Yacht Sales, Inc. - HMY Yacht Sales - Waterway Marina","Heesen",8995000,"34994 ","Stuart","FL","Power",1986,125," Motor Yachts","Aluminum","Twin Inboard",33
"HMY Yacht Sales, Inc. - HMY Yacht Sales - Palm Harbour Marina","Westport",2995000,"33401 ","West Palm Beach","FL","Power",1987,125," Motor Yachts","Fiberglass","Twin Inboard",32
"LAKE PLACID MARINE  INC.","33rd Strike Group",7800,"33852 ","Lake Placid","FL","Power",2016,124," Center Consoles","Other","Single Inboard",3
"River Valley Power & Sport - Red Wing","Yamaha Boats",6999,"55066 ","Red Wing","MN","Power",2019,123," Personal Watercraft","Other","Other",0
"River Valley Power & Sport - Lake Minnetonka","Yamaha Boats",6999,"55391 ","Wayzata","MN","PWC",2019,123," Personal Watercraft","Other","Other",0
"River Valley Power & Sport - Red Wing","Yamaha Boats",6999,"55066 ","Red Wing","MN","PWC",2019,123," Personal Watercraft","Other","Other",0
"River Valley Power and Sports - Rochester","Yamaha Boats",6999,"55901 ","Rochester","MN","PWC",2019,123," Personal Watercraft","Other","Other",0
"River Valley Power & Sport - Red Wing","Yamaha Boats",8499,"55066 ","Red Wing","MN","PWC",2019,123," Personal Watercraft","Other","Other",0
"River Valley Power & Sport - Lake Minnetonka","Yamaha Boats",8499,"55391 ","Wayzata","MN","PWC",2019,123," Personal Watercraft","Other","Other",0
"River Valley Power and Sports - Rochester","Yamaha Boats",8499,"55901 ","Rochester","MN","PWC",2019,123," Personal Watercraft","Other","Other",0
"Northrop and Johnson - Northrop and Johnson Yachts-Ships, Inc","Burger",8950000,"33315 ","Fort Lauderdale","FL","PWC",2002,123," Motor Yachts","Aluminum","Twin Inboard",17
"Atlantic Yacht & Ship, Inc. - Atlantic Yacht & Ship, Inc.","Whangarei Engineering",2e+06,"33004 ","Dania Beach","FL","Power",1979,122," Trawlers, Motor Yachts","Steel","Twin Inboard",40
"Reel Deal Yachts","Burger",5750000,"33140 ","Miami Beach","FL","Power",2000,122," Motor Yachts, Mega Yachts","Aluminum","Other",19
"PIER ONE YACHT SALES - PIER ONE YACHT SALES","Custom",350000,"33950 ","Punta Gorda","FL","Power",1994,120," House Boats, Barge","Steel","Other",25
